iter	Logloss
0	0.6797981838
1	0.6669848034
2	0.6548388681
3	0.6434990269
4	0.6323661591
5	0.6212643321
6	0.6112286389
7	0.6013590769
8	0.5913619247
9	0.5817504698
10	0.5730838781
11	0.5639739496
12	0.5550793736
13	0.5464014779
14	0.5379860307
15	0.5302504483
16	0.5224295636
17	0.5149926108
18	0.5081704597
19	0.5015207242
20	0.4950096181
21	0.4882203619
22	0.4817258645
23	0.475473717
24	0.4691847185
25	0.4632008641
26	0.4575121203
27	0.4519567295
28	0.4461924023
29	0.4407278515
30	0.4353445804
31	0.4300591167
32	0.425113606
33	0.420199334
34	0.4152881907
35	0.4105175531
36	0.4060770142
37	0.4020687691
38	0.3980114059
39	0.3942092513
40	0.3904399983
41	0.3865835622
42	0.3825392197
43	0.379177925
44	0.3757213186
45	0.3721237118
46	0.3685581343
47	0.3650100384
48	0.3614879484
49	0.3583925612
50	0.3553716503
51	0.3520202643
52	0.3488888469
53	0.3457833474
54	0.342879102
55	0.3399915451
56	0.3374122794
57	0.3344958557
58	0.3322091186
59	0.3296926269
60	0.3272520634
61	0.3248311115
62	0.322384175
63	0.3200310322
64	0.3177346654
65	0.3153583907
66	0.3131529514
67	0.3110955479
68	0.3089806976
69	0.30703486
70	0.3048384462
71	0.3026328816
72	0.3006595678
73	0.2986799077
74	0.2967539761
75	0.2949310778
76	0.2931926426
77	0.2915441683
78	0.2899285252
79	0.2883895081
80	0.2867321498
81	0.2850771514
82	0.2833179496
83	0.2816654814
84	0.2803981891
85	0.2787868651
86	0.2774388033
87	0.2760711435
88	0.2745932063
89	0.2731628376
90	0.2718503886
91	0.2704743828
92	0.2695345276
93	0.2683407068
94	0.2670251112
95	0.2656924413
96	0.2642284831
97	0.2631176238
98	0.2618851793
99	0.2607592206
