iter	Passed	Remaining
0	5	530
1	7	360
2	8	290
3	11	281
4	14	271
5	16	253
6	17	231
7	19	220
8	20	206
9	21	193
10	24	197
11	25	188
12	33	223
13	34	211
14	36	208
15	38	203
16	39	194
17	41	186
18	42	183
19	45	180
20	46	174
21	47	168
22	48	163
23	51	161
24	52	158
25	54	154
26	59	160
27	62	159
28	63	155
29	64	150
30	65	146
31	67	142
32	69	141
33	71	139
34	73	136
35	75	134
36	76	130
37	78	128
38	79	124
39	81	122
40	82	118
41	83	115
42	84	112
43	85	109
44	86	106
45	88	103
46	94	106
47	95	103
48	96	100
49	97	97
50	98	94
51	99	91
52	101	89
53	105	89
54	106	87
55	107	84
56	108	82
57	109	79
58	111	77
59	112	74
60	113	72
61	114	69
62	115	67
63	116	65
64	117	63
65	118	61
66	119	58
67	120	56
68	122	54
69	123	52
70	126	51
71	127	49
72	128	47
73	130	45
74	131	43
75	132	41
76	133	39
77	134	37
78	135	35
79	138	34
80	139	32
81	140	30
82	142	29
83	143	27
84	144	25
85	145	23
86	146	21
87	149	20
88	150	18
89	151	16
90	152	15
91	153	13
92	155	11
93	155	9
94	156	8
95	157	6
96	159	4
97	161	3
98	163	1
99	164	0
