"","co2","temperature","humidity","door","motion","fp2","occupancy","weekday","hour"
"1",560,22.97,42.71,54613010,22018948,"non_detection","non_detection","Thursday",8
"2",590,22.97,42.71,54673025,22078965,"non_detection","non_detection","Thursday",8
"3",590,22.97,42.71,54733026,22138954,"non_detection","non_detection","Thursday",8
"4",590,22.97,42.71,54793030,22198955,"non_detection","non_detection","Thursday",8
"5",590,22.97,42.71,54853005,22258939,"non_detection","non_detection","Thursday",8
"6",590,22.97,42.71,54913014,22318954,"non_detection","non_detection","Thursday",8
"7",625,22.97,42.71,54973018,22378947,"non_detection","non_detection","Thursday",8
"8",625,22.97,42.71,55033025,22438965,"non_detection","non_detection","Thursday",8
"9",625,22.97,42.71,55093088,22499015,"non_detection","non_detection","Thursday",8
"10",625,22.97,42.71,55152999,22558943,"non_detection","non_detection","Thursday",8
"11",625,22.97,42.71,55213015,22618949,"non_detection","non_detection","Thursday",8
"12",660,22.97,42.71,55273015,22678940,"non_detection","non_detection","Thursday",8
"13",660,22.72,42.71,55333000,22738938,"non_detection","non_detection","Thursday",8
"14",660,22.72,42.71,55393186,22799121,"non_detection","non_detection","Thursday",8
"15",660,22.72,42.71,55453016,22858949,"non_detection","non_detection","Thursday",8
"16",685,22.72,42.71,55513207,22918950,"non_detection","non_detection","Thursday",8
"17",685,22.72,42.71,55573012,22978943,"non_detection","non_detection","Thursday",8
"18",685,22.72,42.71,55633008,23038951,"non_detection","non_detection","Thursday",8
"19",685,22.72,42.71,55693048,23098943,"non_detection","non_detection","Thursday",8
"20",685,22.72,42.71,55752991,23158950,"non_detection","non_detection","Thursday",8
"21",685,22.72,42.71,55813014,23218949,"non_detection","non_detection","Thursday",8
"22",715,22.72,42.71,55873034,23278948,"non_detection","non_detection","Thursday",8
"23",715,22.72,42.71,55933012,23338953,"non_detection","non_detection","Thursday",8
"24",715,22.72,42.71,55992995,23398944,"non_detection","non_detection","Thursday",8
"25",715,22.72,42.71,56053069,23458999,"non_detection","non_detection","Thursday",8
"26",715,22.72,42.71,56113000,23518949,"non_detection","non_detection","Thursday",8
"27",761,22.72,42.71,56173009,23578947,"non_detection","non_detection","Thursday",8
"28",761,22.72,42.71,56233014,23638950,"non_detection","non_detection","Thursday",8
"29",761,22.72,42.71,56293007,23698942,"non_detection","non_detection","Thursday",8
"30",761,22.72,42.71,56353021,23758950,"non_detection","non_detection","Thursday",8
"31",761,22.72,42.71,56413004,23818949,"non_detection","non_detection","Thursday",8
"32",790,22.72,42.71,56473040,23878957,"non_detection","non_detection","Thursday",8
"33",790,22.72,42.71,56533042,23938981,"non_detection","non_detection","Thursday",8
"34",790,22.72,42.71,56593003,23998948,"non_detection","non_detection","Thursday",8
"35",790,22.72,42.71,56653023,24058947,"non_detection","non_detection","Thursday",8
"36",790,22.72,42.71,56712999,24118946,"non_detection","non_detection","Thursday",8
"37",825,22.72,42.71,56773089,24179023,"non_detection","non_detection","Thursday",8
"38",825,22.72,42.71,56833008,24238953,"non_detection","non_detection","Thursday",8
"39",825,22.72,42.71,56893069,24299002,"non_detection","non_detection","Thursday",8
"40",825,22.72,42.71,56953005,24358944,"non_detection","non_detection","Thursday",8
"41",846,22.72,42.71,57013047,24418959,"non_detection","non_detection","Thursday",8
"42",846,22.72,42.71,57073026,24478952,"non_detection","non_detection","Thursday",8
"43",846,22.72,42.71,57133006,24538946,"non_detection","non_detection","Thursday",8
"44",846,22.72,42.71,57193091,24599023,"non_detection","non_detection","Thursday",8
"45",846,22.72,42.71,57252998,24658944,"non_detection","non_detection","Thursday",8
"46",846,22.72,42.71,57313003,24718941,"non_detection","non_detection","Thursday",8
"47",860,22.72,42.71,57373000,24778937,"non_detection","non_detection","Thursday",8
"48",860,22.72,42.71,57433002,24838954,"non_detection","non_detection","Thursday",8
"49",860,22.72,42.71,57492989,24898939,"non_detection","non_detection","Thursday",8
"50",860,22.38,45.58,57552995,24958943,"non_detection","non_detection","Thursday",8
"51",860,22.38,45.58,57613071,25019007,"non_detection","non_detection","Thursday",8
"52",877,22.38,45.58,57673011,25078940,"non_detection","non_detection","Thursday",8
"53",877,22.38,45.58,57733004,25138945,"non_detection","non_detection","Thursday",8
"54",877,22.38,45.58,57793004,25198944,"non_detection","non_detection","Thursday",8
"55",877,22.38,45.58,57852996,25258942,"non_detection","non_detection","Thursday",8
"56",877,22.38,45.58,57913011,25318950,"non_detection","non_detection","Thursday",8
"57",893,22.38,45.58,57972991,25378942,"non_detection","non_detection","Thursday",8
"58",893,22.38,45.58,58032993,25438944,"non_detection","non_detection","Thursday",8
"59",893,22.38,45.58,58092993,25498948,"non_detection","non_detection","Thursday",8
"60",893,22.38,45.58,58153002,25558942,"non_detection","non_detection","Thursday",8
"61",893,22.38,45.58,58213018,25618955,"non_detection","non_detection","Thursday",9
"62",910,22.38,45.58,58273009,9280,"detection","detection","Thursday",9
"63",910,22.21,45.58,41098,6446,"detection","detection","Thursday",9
"64",910,22.21,45.58,101164,66513,"detection","detection","Thursday",9
"65",910,22.21,45.58,161073,37949,"detection","detection","Thursday",9
"66",910,22.21,45.58,221172,97966,"detection","detection","Thursday",9
"67",1003,22.21,45.58,281109,49887,"detection","detection","Thursday",9
"68",1003,22.21,45.58,341091,109880,"detection","detection","Thursday",9
"69",1003,22.21,45.58,401095,169888,"detection","detection","Thursday",9
"70",1003,22.21,45.58,461083,17834,"detection","detection","Thursday",9
"71",1003,22.21,45.58,521102,77827,"detection","detection","Thursday",9
"72",1100,22.21,45.58,581101,137823,"detection","detection","Thursday",9
"73",1100,22.21,45.58,641067,197826,"detection","detection","Thursday",9
"74",1100,22.21,45.58,701080,39854,"detection","detection","Thursday",9
"75",1100,22.21,45.58,761206,99959,"detection","detection","Thursday",9
"76",1100,22.21,45.58,821109,47627,"detection","detection","Thursday",9
"77",1143,22.21,45.58,881097,107623,"detection","detection","Thursday",9
"78",1143,22.21,45.58,941080,2722,"detection","non_detection","Thursday",9
"79",1143,22.21,45.58,41432,62713,"detection","non_detection","Thursday",9
"80",1143,22.21,45.58,101428,122724,"non_detection","non_detection","Thursday",9
"81",1143,22.21,45.58,161433,182716,"non_detection","non_detection","Thursday",9
"82",1145,22.21,45.58,221429,242713,"non_detection","non_detection","Thursday",9
"83",1145,22.21,45.58,281450,302724,"non_detection","non_detection","Thursday",9
"84",1145,22.21,45.58,341442,362715,"non_detection","non_detection","Thursday",9
"85",1145,22.21,45.58,401439,422719,"non_detection","non_detection","Thursday",9
"86",1145,22.21,45.58,461458,482726,"non_detection","non_detection","Thursday",9
"87",1087,22.21,45.58,521444,542732,"non_detection","non_detection","Thursday",9
"88",1087,22.21,45.58,581439,602722,"non_detection","non_detection","Thursday",9
"89",1087,22.21,45.58,641477,662715,"non_detection","non_detection","Thursday",9
"90",1087,22.21,45.58,701454,722737,"non_detection","non_detection","Thursday",9
"91",1087,22.21,45.58,761506,782736,"non_detection","non_detection","Thursday",9
"92",1057,22.21,45.58,821508,842791,"non_detection","non_detection","Thursday",9
"93",1057,22.21,45.58,881435,902728,"non_detection","non_detection","Thursday",9
"94",1057,22.21,45.58,941437,962719,"non_detection","non_detection","Thursday",9
"95",1057,22.21,45.58,1001422,1022716,"non_detection","non_detection","Thursday",9
"96",1057,22.21,45.58,1061452,1082728,"non_detection","non_detection","Thursday",9
"97",1038,22.21,45.58,1121455,1142725,"non_detection","non_detection","Thursday",9
"98",1038,22.21,45.58,1181441,1202717,"non_detection","non_detection","Thursday",9
"99",1038,22.21,45.58,1241451,1262733,"non_detection","non_detection","Thursday",9
"100",1038,22.21,45.58,1301457,1322737,"non_detection","non_detection","Thursday",9
"101",1038,22.21,45.58,1361438,1382717,"non_detection","non_detection","Thursday",9
