"","X","co2","temperature","humidity","door","motion","fp2","occupancy","weekday","hour","discomfort_index","co2_rolling_std","temperature_rolling_std","humidity_rolling_std","motion_rolling_std","door_rolling_std","co2_temperature_interaction","co2_humidity_interaction","co2_lag1","co2_lag2","co2_lag3","co2_lag4","co2_lag5","temperature_lag1","temperature_lag2","temperature_lag3","temperature_lag4","temperature_lag5","humidity_lag1","humidity_lag2","humidity_lag3","humidity_lag4","humidity_lag5"
"1",6,590,22.97,42.71,54913014,22318954,"non_detection","non_detection","Thursday",8,4,590,22.97,42.71,22198953.4,54793020,1355.23,2519.89,590,590,590,590,560,22.97,22.97,22.97,22.97,22.97,42.71,42.71,42.71,42.71,42.71
"2",7,625,22.97,42.71,54973018,22378947,"non_detection","non_detection","Thursday",8,4,597,22.97,42.71,22258949.8,54853018.6,1435.625,2669.375,590,590,590,590,590,22.97,22.97,22.97,22.97,22.97,42.71,42.71,42.71,42.71,42.71
"3",8,625,22.97,42.71,55033025,22438965,"non_detection","non_detection","Thursday",8,4,604,22.97,42.71,22318952,54913018.4,1435.625,2669.375,625,590,590,590,590,22.97,22.97,22.97,22.97,22.97,42.71,42.71,42.71,42.71,42.71
"4",9,625,22.97,42.71,55093088,22499015,"non_detection","non_detection","Thursday",8,4,611,22.97,42.71,22378964,54973030,1435.625,2669.375,625,625,590,590,590,22.97,22.97,22.97,22.97,22.97,42.71,42.71,42.71,42.71,42.71
"5",10,625,22.97,42.71,55152999,22558943,"non_detection","non_detection","Thursday",8,4,618,22.97,42.71,22438964.8,55033028.8,1435.625,2669.375,625,625,625,590,590,22.97,22.97,22.97,22.97,22.97,42.71,42.71,42.71,42.71,42.71
"6",11,625,22.97,42.71,55213015,22618949,"non_detection","non_detection","Thursday",8,4,625,22.97,42.71,22498963.8,55093029,1435.625,2669.375,625,625,625,625,590,22.97,22.97,22.97,22.97,22.97,42.71,42.71,42.71,42.71,42.71
"7",12,660,22.97,42.71,55273015,22678940,"non_detection","non_detection","Thursday",8,4,632,22.97,42.71,22558962.4,55153028.4,1516.02,2818.86,625,625,625,625,625,22.97,22.97,22.97,22.97,22.97,42.71,42.71,42.71,42.71,42.71
"8",13,660,22.72,42.71,55333000,22738938,"non_detection","non_detection","Thursday",8,4,639,22.92,42.71,22618957,55213023.4,1499.52,2818.86,660,625,625,625,625,22.97,22.97,22.97,22.97,22.97,42.71,42.71,42.71,42.71,42.71
"9",14,660,22.72,42.71,55393186,22799121,"non_detection","non_detection","Thursday",8,4,646,22.87,42.71,22678978.2,55273043,1499.52,2818.86,660,660,625,625,625,22.72,22.97,22.97,22.97,22.97,42.71,42.71,42.71,42.71,42.71
"10",15,660,22.72,42.71,55453016,22858949,"non_detection","non_detection","Thursday",8,4,653,22.82,42.71,22738979.4,55333046.4,1499.52,2818.86,660,660,660,625,625,22.72,22.72,22.97,22.97,22.97,42.71,42.71,42.71,42.71,42.71
"11",16,685,22.72,42.71,55513207,22918950,"non_detection","non_detection","Thursday",8,4,665,22.77,42.71,22798979.6,55393084.8,1556.32,2925.635,660,660,660,660,625,22.72,22.72,22.72,22.97,22.97,42.71,42.71,42.71,42.71,42.71
"12",17,685,22.72,42.71,55573012,22978943,"non_detection","non_detection","Thursday",8,4,670,22.72,42.71,22858980.2,55453084.2,1556.32,2925.635,685,660,660,660,660,22.72,22.72,22.72,22.72,22.97,42.71,42.71,42.71,42.71,42.71
"13",18,685,22.72,42.71,55633008,23038951,"non_detection","non_detection","Thursday",8,4,675,22.72,42.71,22918982.8,55513085.8,1556.32,2925.635,685,685,660,660,660,22.72,22.72,22.72,22.72,22.72,42.71,42.71,42.71,42.71,42.71
